名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブ効果,サーブ効果率,サーブレシーブ成功率,チーム
ジャラット,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,1.0,25.0,,PFUブルーキャッツ
志摩,3,0,0,0.0,0.0,0,5,4,1,7,0,0,3.0,4,0.75,5.0,17.9,90.0,PFUブルーキャッツ
貞包,93,29,6,31.2,24.7,2,17,6,5,28,1,1,9.0,17,0.53,16.0,17.0,50.0,ヴィクトリーナ姫路
宮地,2,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,,0.0,,,ヴィクトリーナ姫路
松本,63,21,1,33.3,31.7,0,70,38,16,27,0,3,3.0,19,0.16,6.0,3.1,65.7,ヴィクトリーナ姫路
佐々木,12,6,1,50.0,41.7,2,1,0,0,23,1,1,6.0,15,0.4,13.0,17.4,0.0,ヴィクトリーナ姫路
荒谷,30,10,1,33.3,30.0,6,2,1,0,34,2,3,9.0,22,0.41,15.0,15.6,50.0,ヴィクトリーナ姫路
櫻井,0,0,0,,,0,0,0,0,20,0,1,5.0,15,0.33,7.0,7.9,,ヴィクトリーナ姫路
堀込,0,0,0,,,0,1,0,0,6,0,0,1.0,5,0.2,4.0,16.7,0.0,ヴィクトリーナ姫路
田中,71,32,5,45.1,38.0,1,29,9,9,20,0,1,2.0,13,0.15,9.0,10.5,46.6,ヴィクトリーナ姫路
花井,0,0,0,,,0,39,16,16,0,0,0,0.0,0,,0.0,,61.5,ヴィクトリーナ姫路
孫田,26,7,1,26.9,23.1,0,7,0,3,9,0,0,3.0,7,0.43,5.0,13.9,21.4,ヴィクトリーナ姫路
金杉,38,15,1,39.5,36.8,0,10,3,2,11,0,1,3.0,7,0.43,7.0,15.0,40.0,ヴィクトリーナ姫路
長野,5,3,1,60.0,40.0,1,2,0,1,16,1,3,3.0,6,0.5,5.0,10.7,25.0,ヴィクトリーナ姫路
吉岡,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,ヴィクトリーナ姫路
脇田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,ヴィクトリーナ姫路
アリョーナ,7,1,0,14.3,14.3,1,0,0,0,0,0,0,0.0,0,,0.0,,,ヴィクトリーナ姫路
溝口,0,0,0,,,0,2,0,2,0,0,0,0.0,0,,0.0,,50.0,ヴィクトリーナ姫路
福井,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,ヴィクトリーナ姫路
